StockA_Price,StockA_Ask,StockA_Bid,StockB_Price,StockB_Ask,StockB_Bid,StockC_Price,StockC_Ask,StockC_Bid,StockD_Price,StockD_Ask,StockD_Bid,StockE_Price,StockE_Ask,StockE_Bid
198.70838522631058,200.70838522631058,196.70838522631058,188.729202390062,190.729202390062,186.729202390062,245.70053629196482,247.70053629196482,243.70053629196482,175.1354757129502,177.1354757129502,173.1354757129502,220.03462903441763,221.03462903441763,219.03462903441763
200.65494513463267,202.65494513463267,198.65494513463267,193.37585055039727,195.37585055039727,191.37585055039727,249.1688010881328,252.1688010881328,246.1688010881328,176.62311804618042,178.62311804618042,174.62311804618042,227.53445229320602,228.53445229320602,226.53445229320602
201.94992825465894,204.94992825465894,198.94992825465894,194.59462833572587,197.59462833572587,191.59462833572587,256.51293464403136,257.51293464403136,255.51293464403136,176.65114040945886,177.65114040945886,175.65114040945886,231.99506047976485,232.99506047976485,230.99506047976485
199.57370131252338,201.57370131252338,197.57370131252338,193.22378645335968,194.22378645335968,192.22378645335968,254.31316100714264,255.31316100714264,253.31316100714264,173.48936180310076,174.48936180310076,172.48936180310076,230.96296900514417,232.96296900514417,228.96296900514417
199.41925750638376,202.41925750638376,196.41925750638376,194.91426997247947,196.91426997247947,192.91426997247947,253.36019355212548,254.36019355212548,252.36019355212548,172.85529463242895,175.85529463242895,169.85529463242895,230.56502446959894,231.56502446959894,229.56502446959894
202.5656421073029,203.5656421073029,201.5656421073029,190.03287309666857,193.03287309666857,187.03287309666857,254.95668068265348,257.9566806826535,251.95668068265348,173.40072484800598,175.40072484800598,171.40072484800598,227.83011394219014,230.83011394219014,224.83011394219014
202.89546769977628,203.89546769977628,201.89546769977628,184.50845888909012,187.50845888909012,181.50845888909012,249.96198587677085,250.96198587677085,248.96198587677085,171.65507786706434,173.65507786706434,169.65507786706434,226.55775119645952,227.55775119645952,225.55775119645952
205.28297694741457,208.28297694741457,202.28297694741457,180.49341919338207,183.49341919338207,177.49341919338207,253.2789419952318,256.2789419952318,250.2789419952318,176.11155955082646,178.11155955082646,174.11155955082646,228.56601588672166,229.56601588672166,227.56601588672166
206.425438133597,208.425438133597,204.425438133597,183.09937764992898,185.09937764992898,181.09937764992898,249.765598208946,250.765598208946,248.765598208946,176.4994515983762,177.4994515983762,175.4994515983762,230.07510145481953,233.07510145481953,227.07510145481953
208.02788952446093,211.02788952446093,205.02788952446093,187.00451570469795,188.00451570469795,186.00451570469795,256.7184084690814,258.7184084690814,254.7184084690814,178.6612227240342,181.6612227240342,175.6612227240342,233.2257983909405,235.2257983909405,231.2257983909405
209.87873276176893,210.87873276176893,208.87873276176893,192.214326252418,195.214326252418,189.214326252418,263.7276861742363,266.7276861742363,260.7276861742363,178.41945283543882,181.41945283543882,175.41945283543882,235.1829654397522,236.1829654397522,234.1829654397522
207.0830883518732,210.0830883518732,204.0830883518732,193.4021872556447,195.4021872556447,191.4021872556447,262.1566420838615,263.1566420838615,261.1566420838615,176.7367661126369,178.7367661126369,174.7367661126369,237.24281928798356,238.24281928798356,236.24281928798356
207.61002546889404,210.61002546889404,204.61002546889404,192.59294356613384,193.59294356613384,191.59294356613384,263.7697760086517,266.7697760086517,260.7697760086517,178.5144908166113,180.5144908166113,176.5144908166113,235.534975506214,236.534975506214,234.534975506214
207.18869454134222,208.18869454134222,206.18869454134222,192.23020484047387,194.23020484047387,190.23020484047387,265.03090043550515,266.03090043550515,264.03090043550515,181.2077064572663,183.2077064572663,179.2077064572663,233.2398332605714,234.2398332605714,232.2398332605714
204.97922735426997,205.97922735426997,203.97922735426997,185.1759896839702,187.1759896839702,183.1759896839702,256.1755371173896,259.1755371173896,253.17553711738958,179.33187041966306,182.33187041966306,176.33187041966306,232.15436974885702,234.15436974885702,230.15436974885702
206.42286522946569,209.42286522946569,203.42286522946569,189.05209472976634,191.05209472976634,187.05209472976634,263.1743355516288,265.1743355516288,261.1743355516288,180.9709022660469,182.9709022660469,178.9709022660469,239.00234273868278,241.00234273868278,237.00234273868278
205.5387462885729,206.5387462885729,204.5387462885729,191.4093571764529,192.4093571764529,190.4093571764529,258.9821022566269,259.9821022566269,257.9821022566269,180.1394208664421,182.1394208664421,178.1394208664421,241.18002175380522,244.18002175380522,238.18002175380522
204.2880899596285,205.2880899596285,203.2880899596285,195.6510069939657,196.6510069939657,194.6510069939657,267.1845907110027,270.1845907110027,264.1845907110027,181.78458166903906,183.78458166903906,179.78458166903906,241.32224757148015,244.32224757148015,238.32224757148015
205.42821785934672,207.42821785934672,203.42821785934672,192.98414143824135,194.98414143824135,190.98414143824135,262.37079457593876,263.37079457593876,261.37079457593876,180.57234657492404,181.57234657492404,179.57234657492404,240.90433443882506,243.90433443882506,237.90433443882506
203.22608305186893,204.22608305186893,202.22608305186893,193.99044200883623,196.99044200883623,190.99044200883623,265.94005744508445,267.94005744508445,263.94005744508445,178.90450749983995,179.90450749983995,177.90450749983995,240.07763763721942,241.07763763721942,239.07763763721942
202.552999200107,205.552999200107,199.552999200107,200.99594059842764,201.99594059842764,199.99594059842764,267.74266631897774,270.74266631897774,264.74266631897774,180.6230347517303,181.6230347517303,179.6230347517303,242.00244089250248,244.00244089250248,240.00244089250248
199.53011881807808,200.53011881807808,198.53011881807808,202.35870761249106,204.35870761249106,200.35870761249106,268.55615858699423,270.55615858699423,266.55615858699423,179.59077800071125,182.59077800071125,176.59077800071125,244.57700436431662,247.57700436431662,241.57700436431662
198.02419820549437,200.02419820549437,196.02419820549437,199.71597156585958,200.71597156585958,198.71597156585958,266.38539147211435,268.38539147211435,264.38539147211435,177.71149533087166,180.71149533087166,174.71149533087166,246.3900041190131,248.3900041190131,244.3900041190131
197.77876278001867,199.77876278001867,195.77876278001867,202.15413730234857,203.15413730234857,201.15413730234857,270.76115866617783,273.76115866617783,267.76115866617783,176.75535195201172,177.75535195201172,175.75535195201172,246.64882664108023,247.64882664108023,245.64882664108023
197.68578593031873,198.68578593031873,196.68578593031873,198.00207515985335,200.00207515985335,196.00207515985335,263.6636340321899,266.6636340321899,260.6636340321899,177.5543399968884,179.5543399968884,175.5543399968884,243.4199110069626,245.4199110069626,241.4199110069626
197.818546330911,200.818546330911,194.818546330911,196.80041458966477,199.80041458966477,193.80041458966477,265.30098498956903,266.30098498956903,264.30098498956903,175.99288434926055,177.99288434926055,173.99288434926055,244.6759355161333,246.6759355161333,242.6759355161333
199.01566189266745,201.01566189266745,197.01566189266745,194.32193605820837,197.32193605820837,191.32193605820837,258.2306710480408,259.2306710480408,257.2306710480408,177.26103455682895,178.26103455682895,176.26103455682895,246.007297823058,247.007297823058,245.007297823058
196.33061184935502,199.33061184935502,193.33061184935502,197.97822692339923,198.97822692339923,196.97822692339923,267.60104112416116,268.60104112416116,266.60104112416116,176.81543242327405,177.81543242327405,175.81543242327405,250.11051550132,252.11051550132,248.11051550132
